PhraseID,Sentence,Phrase,count,WordCount,Sentiment,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
868,1,okay,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
869,1,that,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
870,1,makes,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
870,1,that,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,1,makes,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
871,1,you,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
872,1,sleep,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
872,1,you,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
873,1,sleep,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
874,1,night,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
875,1,kpoppie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
875,1,night,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
876,1,kpoppie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
879,1,not,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
880,1,indian,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
880,1,not,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
881,1,but,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
881,1,indian,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
882,1,but,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,1,kudos,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
883,1,kudos,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
884,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
885,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
